lat,lon,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5
-23.5629908,-46.7039651,1.9284154,-94.64258,28.955463,45.119682,10.986833,75.63117,44.349426,6.967862,21.74212,68.15707
-23.5674648,-46.7022294,-13.849657,-91.68446,41.38634,63.026703,32.666424,54.458992,29.762533,9.121083,-16.099344,55.948944
-23.5729625,-46.6992349,-4.6037374,-98.31871,13.598462,73.66661,38.565598,76.56074,39.58197,29.00318,-14.936698,76.59572
-23.528187,-46.6619198,-87.518295,-13.883346,34.46917,42.15867,15.504527,81.93802,42.53608,4.197424,23.712927,73.29846
-23.5173082,-46.656944,-92.62878,-26.689465,-16.644321,18.817488,-19.241598,21.801718,56.97803,-36.14923,58.76838,15.034625
-23.5139479,-46.6303459,52.225437,0.8649154,6.2606273,68.75902,-4.4478803,91.32973,51.144917,35.392426,2.063708,87.6696
-23.5135798,-46.6290079,52.225334,0.86512476,7.329715,10.256766,-16.17113,32.457237,-81.13097,-11.1516485,-47.229156,9.27425
-23.5153989,-46.6292745,52.22543,0.8650677,-6.259317,15.736578,-15.831531,22.674824,-81.19676,-11.117846,-50.005165,7.0051556
-23.55821,-46.6382561,93.25443,-13.310401,39.66061,69.44014,43.356533,63.639416,16.840555,20.466564,-31.652115,54.348217
-23.5685427,-46.6078851,-42.64774,14.946941,27.11133,-73.04066,38.4756,-8.248517,-13.999925,-29.340677,33.972378,-26.962185
-23.5510876,-46.6261325,86.68057,28.514946,-11.378366,-0.81354564,46.898163,-45.022854,79.97161,-10.835781,70.05231,34.817604
-23.553306,-46.6252724,88.35605,28.85857,14.18374,82.27591,52.538837,71.5851,33.347202,32.69973,-30.281256,74.13904
-23.5622815,-46.6749913,34.147713,-1.4090548,21.929499,60.639233,22.577991,81.83319,44.63377,19.161892,14.2030115,78.58743
-23.5252524,-46.6253024,-50.606472,71.10119,32.864384,29.543968,15.473254,84.852356,20.405977,91.48437,25.274944,76.41013
-23.5241424,-46.6086344,2.0551407,9.825408,-9.786024,7.315309,-39.420364,15.913596,-51.745358,-26.974688,-39.131554,0.13321966
-23.5245756,-46.602058,1.9920447,25.685396,-28.450905,37.079773,-24.391218,6.8625546,-66.727425,-23.929783,-29.957752,-40.18518
-23.5294793,-46.5958205,21.915224,58.501995,-68.31893,-21.17375,13.691624,-24.578552,-27.063475,69.77821,-17.989311,-46.43462
-23.5321244,-46.6587483,-79.859665,-37.996353,36.197685,29.277699,6.3919067,64.62287,48.255684,0.8988999,27.829687,63.759575
-23.534842,-46.6601022,-98.871925,-8.903896,58.232796,44.28231,24.28577,54.42262,35.85158,-2.6725035,-12.382552,50.112556
-23.5372021,-46.6535506,-75.60565,22.983927,64.90577,55.044506,15.838328,54.780376,67.447266,13.221785,38.859016,48.21011
-23.538894,-46.6513228,99.177284,37.952717,27.835154,-12.562801,65.5352,-43.188328,69.29689,-5.17869,54.22768,34.01315
-23.5403107,-46.6517752,106.545105,35.634438,59.162926,37.117607,-16.753841,57.75426,62.852783,3.915687,48.40804,44.342896
-23.5400651,-46.6526531,102.3508,37.510036,37.404766,6.8358207,3.7670603,37.93768,68.96546,-4.545295,49.27325,44.412502
-23.5416139,-46.6531738,91.197495,0.21380652,41.872814,36.422092,-4.97209,66.01751,3.005807,21.593884,11.854612,67.34947
-23.5477074,-46.6552234,88.98411,0.57850707,55.465866,13.544496,-11.838621,42.050274,-2.6929297,21.949707,-40.815716,38.363228
-23.5944241,-46.6925463,-0.88601345,108.0385,34.095467,5.708403,-31.55561,52.01631,2.6646454,111.01079,47.38635,-54.33461
-23.5909055,-46.6917202,-1.6009817,107.482254,-8.967655,6.686848,-31.852606,32.05673,3.8353472,111.25412,38.445366,-49.440357
-23.5905872,-46.691334,-1.6009817,107.482254,27.978329,-14.83047,-34.260365,57.989475,3.3057764,110.693596,42.252094,-49.51637
-23.5891676,-46.6927877,-48.084133,98.130875,17.269882,-24.23708,25.15332,-6.273065,23.960827,99.75325,49.10839,1.0852888
-23.5891308,-46.6907626,-0.87274975,106.95444,-60.38818,40.505157,-16.285975,-73.57049,3.4921372,113.11214,57.384945,-47.880756
-23.5867851,-46.6904227,24.829258,-78.62794,76.573715,-14.247382,32.43895,9.709351,-1.2443779,-96.63745,51.514763,-57.89124
-23.5868485,-46.692508,9.383048,-83.05644,23.367487,-6.5883718,-2.6641502,41.704422,5.8815713,-92.502426,47.074917,-53.892128
-23.5865498,-46.6897112,24.829258,-78.62794,-51.15428,36.78093,-7.413827,-75.38215,-3.8532834,-104.826035,60.197937,-54.77692
-23.5867046,-46.6926683,9.764311,-83.16665,-69.46997,-1.9530327,25.981913,-73.93625,5.712253,-100.88842,63.765945,-42.52655
-23.5863137,-46.6930949,9.764559,-83.16655,-103.408806,-7.630523,13.649262,-60.25633,5.730573,-100.93095,52.05409,-36.23855
-23.5857927,-46.6905615,24.829258,-78.62794,-31.315289,33.263317,-16.553606,-73.95415,-3.9326165,-104.76889,60.988457,-54.71873
-23.585147,-46.6905049,3.906544,-86.995224,16.687311,-57.916325,-13.874894,-11.745534,11.238856,-94.44741,51.07125,-47.221245
-23.5858667,-46.689275,25.267931,-78.8684,44.363625,64.36665,37.916016,59.90959,28.414543,11.067706,-18.950226,59.40814
-23.5847012,-46.6908418,12.483976,-83.3099,17.955467,11.015899,-18.285522,36.507233,4.820853,-94.8591,28.87165,41.421974
-23.5833561,-46.6915069,9.175762,-93.90038,14.561224,-59.733612,-20.371801,-54.45742,11.886576,-98.52992,45.963387,-41.86436
-23.5782908,-46.6944167,15.969331,-89.21658,68.46101,19.564087,27.509693,26.455229,22.484074,-11.2541065,18.2008,19.449598
-23.5762898,-46.695606,14.589165,-89.15,-1.4824584,14.646162,-5.113411,26.140831,8.56092,-104.057106,28.746319,47.820446
-23.5757262,-46.6959795,14.58917,-89.15025,-25.9302,-64.43438,-0.7283656,-40.3072,8.14158,-104.26996,53.993507,-35.25643
-23.5714685,-46.7007651,-19.167522,-104.766266,62.029243,-18.393267,-39.94628,49.89679,26.87846,-20.102125,37.667683,12.788528
-23.5736667,-46.6979221,-4.8339324,-97.913055,5.5876093,-16.683996,25.958904,-62.36757,22.856373,-87.498,72.97161,-31.737
-23.5719385,-46.6991948,-15.734561,-92.096664,61.569603,66.57554,51.546257,41.402935,26.723372,-3.664511,4.783558,13.7779
-23.5717977,-46.6981407,-15.7345495,-92.09702,77.14724,-15.479018,40.067375,17.800858,24.29827,-18.853582,14.886781,14.630141
-23.5722494,-46.7022579,-13.216992,-102.27791,20.697975,18.58125,6.9969306,63.284145,20.551992,-79.47356,27.342075,61.393665
-23.5707748,-46.7011858,-19.161442,-104.51371,36.91751,32.14854,5.5008554,66.96786,45.17805,-1.0877386,23.234547,60.976543
-23.5704877,-46.7029919,-18.360748,-95.23043,-34.54336,30.269201,9.076526,-76.550575,27.094887,-85.61439,64.13132,-34.00648
-23.5696309,-46.7034241,-18.45047,-95.50853,8.63186,12.993131,-4.030753,49.48414,22.962025,-79.82964,28.64575,44.858562
-23.5615199,-46.705205,7.333937,-94.09229,33.198917,5.2870727,-29.502275,46.954315,6.1338806,-94.15824,33.86001,30.05122
-23.5570434,-46.7121982,18.58949,-62.107967,-0.9335424,-15.949162,-53.051647,27.885317,-10.008184,-92.417274,42.235542,-48.841667
-23.5600356,-46.7099894,7.435064,-90.52523,-8.626295,-47.332893,-64.78213,-50.336025,11.236701,-98.6285,52.143272,-46.025753
